Date,Day_Type,Title,Region,Genre,Duration_Mins,Study_Mins,Fatigue_Level,Device,Context,Binge_Session
2026/2/17,Study,My Queen,Taiwan,Romance,100,240,3,Tablet,Eating,FALSE
2026/2/18,Errands,Suspicious Partner,Korea,Romance,70,100,3,Tablet,Eating,FALSE
2026/2/19,Study,Suspicious Partner,Korea,Romance,65,200,3,Tablet,Eating,FALSE
2026/2/20,Study,My Queen,Taiwan,Romance,230,400,5,Phone,Before_Asleep,TRUE
2026/2/21,Rest,My Queen,Taiwan,Romance,300,0,1,Tablet,Focused,TRUE
2026/2/22,Errands,My Queen,Taiwan,Romance,120,60,2,Tablet,Scrolling,FALSE
2026/2/23,Travel,N/A,N/A,N/A,0,0,5,N/A,N/A,N/A
2026/2/24,Rest,It Started With A Kiss,Taiwan,Romance,250,0,1,Tablet,Focused,TRUE
2026/2/25,Errands,Suspicious Partner,Korea,Romance,100,100,2,Tablet,Scrolling,FALSE
2026/2/26,Study,Suspicious Partner,Korea,Romance,80,240,3,Tablet,Eating,FALSE
2026/2/27,Study,It Started With A Kiss,Taiwan,Romance,90,300,4,Tablet,Eating,FALSE
2026/2/28,Errands,N/A,N/A,N/A,0,0,5,N/A,N/A,N/A
2026/3/1,Rest,It Started With A Kiss,Taiwan,Romance,320,0,1,Tablet,Focused,TRUE
2026/3/2,Errands,It Started With A Kiss,Taiwan,Romance,170,100,2,Tablet,Scrolling,FALSE
2026/3/3,Rest,It Started With A Kiss,Taiwan,Romance,290,60,1,Tablet,Focused,TRUE
2026/3/4,Errands,It Started With A Kiss,Taiwan,Romance,150,80,2,Tablet,Eating,FALSE
2026/3/5,Study,My Lucky Star,Taiwan,Romance,100,210,3,Tablet,Eating,FALSE
2026/3/6,Study,My Lucky Star,Taiwan,Romance,80,220,3,Tablet,Eating,FALSE
2026/3/7,Rest,My Lucky Star,Taiwan,Romance,310,0,1,Tablet,Focused,TRUE
2026/3/8,Errands,Suspicious Partner,Korea,Romance,110,50,2,Tablet,Eating,FALSE
2026/3/9,Study,Suspicious Partner,Korea,Romance,60,200,3,Tablet,Eating,FALSE
2026/3/10,Errands,N/A,N/A,N/A,0,60,5,N/A,N/A,N/A
2026/3/11,Rest,My Lucky Star,Taiwan,Romance,290,40,1,Tablet,Focused,TRUE
2026/3/12,Study,My Lucky Star,Taiwan,Romance,70,240,3,Tablet,Eating,FALSE
2026/3/13,Study,My Lucky Star,Taiwan,Romance,80,200,3,Tablet,Eating,FALSE
2026/3/14,Rest,The Capture,United Kingdom,Crime / Thriller,240,60,1,Laptop,Focused,TRUE
2026/3/15,Rest,The Capture,United Kingdom,Crime / Thriller,300,0,1,Laptop,Focused,TRUE
2026/3/16,Errands,N/A,N/A,N/A,0,60,5,N/A,N/A,N/A
2026/3/17,Errands,N/A,N/A,N/A,0,80,5,N/A,N/A,N/A
2026/3/18,Rest,Wayward Kenting,Taiwan,Romance,270,0,1,Tablet,Focused,TRUE
2026/3/19,Study,Wayward Kenting,Taiwan,Romance,250,350,5,Phone,Before_Asleep,TRUE
2026/3/20,Study,Wayward Kenting,Taiwan,Romance,60,200,3,Tablet,Eating,FALSE
2026/3/21,Rest,Wayward Kenting,Taiwan,Romance,300,0,1,Tablet,Focused,TRUE
2026/3/22,Errands,To My Beloved Thief,Korea,Romance,90,100,2,Tablet,Scrolling,FALSE
2026/3/23,Study,Fated to Love You,Taiwan,Romance,100,300,4,Tablet,Eating,FALSE
2026/3/24,Errands,To My Beloved Thief,Korea,Romance,80,120,2,Tablet,Eating,FALSE
2026/3/25,Study,To My Beloved Thief,Korea,Romance,65,180,3,Tablet,Eating,FALSE
2026/3/26,Study,Fated to Love You,Taiwan,Romance,70,250,3,Tablet,Eating,FALSE
2026/3/27,Study,Fated to Love You,Taiwan,Romance,60,240,3,Tablet,Eating,FALSE
2026/3/28,Rest,Fated to Love You,Taiwan,Romance,310,0,1,Tablet,Focused,TRUE
2026/3/29,Study,To My Beloved Thief,Korea,Romance,50,200,3,Tablet,Eating,FALSE
2026/3/30,Study,My Girl,Korea,Romance,80,230,3,Tablet,Eating,FALSE
2026/3/31,Study,My Girl,Korea,Romance,60,250,3,Tablet,Eating,FALSE
2026/4/1,Study,My Girl,Korea,Romance,90,200,3,Tablet,Eating,FALSE
